6659,02LS,heliport,Windy Hill Heliport,US,US-LA,Broussard,02LS,02LS
6660,02MA,heliport,Cuttyhunk Heliport,US,US-MA,Gosnold,02MA,02MA
6661,02ME,small_airport,Old Acton Airfield,US,US-ME,Acton,02ME,02ME
6662,02MI,small_airport,Fairplains Airpark,US,US-MI,Greenville,02MI,02MI
6663,02MN,small_airport,Greenbush Municipal Airport,US,US-MN,Greenbush,02MN,02MN
6664,02MO,small_airport,Troy Airpark,US,US-MO,Troy,02MO,02MO
6665,02MS,small_airport,Watts Field,US,US-MS,Rochdale,02MS,02MS
6666,02MT,small_airport,Barrett Field,US,US-MT,Cascade,02MT,02MT
6667,02MU,small_airport,Timber Line Airpark,US,US-MO,Cassville,02MU,02MU
45686,02NC,heliport,Race City Heliport,US,US-NC,Landis,02NC,02NC
6668,02NE,small_airport,Benes Service Airport,US,US-NE,Valparaiso,02NE,02NE
6669,02NH,seaplane_base,Iroquois Landing Seaplane Base,US,US-NH,Dummer,02NH,02NH
6670,02NJ,heliport,Penske Heliport,US,US-NJ,Piscataway,02NJ,02NJ
6671,02NV,small_airport,Paiute Meadows Airport,US,US-NV,Winnemucca,02NV,02NV
6672,02NY,heliport,Hansen Heliport,US,US-NY,Durhamville,02NY,02NY
6673,02OH,small_airport,Zimmerman Airport,US,US-OH,Fremont,02OH,02OH
6674,02OI,small_airport,Murtha Airport,US,US-OH,Conneaut,02OI,02OI
6675,02OK,heliport,Canon Heliport,US,US-OK,Oklahoma City,02OK,02OK
6676,02OR,small_airport,Rowena Dell Airport,US,US-OR,The Dalles,02OR,02OR
6677,02P,heliport,Stottle Memorial Heliport,US,US-PA,Honey Grove,02P,02P
6678,02PA,heliport,Lag Iii Heliport,US,US-PA,Monroeville,02PA,02PA
6679,02PN,heliport,Peco Berwyn Heliport,US,US-PA,Berwyn,02PN,02PN
6680,02PR,small_airport,Cuylers Airport,PR,PR-U-A,Vega Baja,02PR,02PR
6681,02PS,small_airport,Hughes Ultralightport,US,US-PA,Tioga,02PS,02PS
6682,02SC,small_airport,Harpers Airport,US,US-SC,Estill,02SC,02SC
6683,02T,small_airport,Wise River Airport,US,US-MT,Wise River,02T,02T
6684,02TA,heliport,Matagorda Shore Facility Heliport,US,US-TX,Matagorda,02TA,02TA
6685,02TE,heliport,Baylor Medical Center Heliport,US,US-TX,Waxahachie,02TE,02TE
6686,02TN,small_airport,Ellis Field,US,US-TN,Murfreesboro,02TN,02TN
6687,02TS,heliport,Fwomc Heliport,US,US-TX,Fort Worth,02TS,02TS
6688,02TX,small_airport,The Palms At Kitty Hawk Airport,US,US-TX,New Home,02TX,02TX
6689,02UT,small_airport,Lucin Airport,US,US-UT,Lucin,02UT,02UT
6690,02VA,small_airport,The Greenhouse Airport,US,US-VA,Culpeper,02VA,02VA
6691,02VG,heliport,Northstar Aviation Heliport,US,US-VA,Bristol,02VG,02VG
6692,02WA,small_airport,Cawleys South Prairie Airport,US,US-WA,South Prairie,02WA,02WA
6693,02WI,small_airport,Beer Airport,US,US-WI,Hudson,02WI,02WI
6694,02WN,small_airport,Fowler Field,US,US-WA,Tonasket,02WN,02WN
6695,02XS,small_airport,Seidel Ranch Airport,US,US-TX,Elroy,02XS,02XS
6696,03AK,seaplane_base,Joe Clouds Seaplane Base,US,US-AK,Kenai,03AK,03AK
6697,03AL,heliport,Jackson County Hospital Heliport,US,US-AL,Scottsboro,03AL,03AL
6698,03AR,heliport,Hscmh Heliport,US,US-AR,Malvern,03AR,03AR
6699,03AZ,small_airport,Thompson International Aviation Airport,US,US-AZ,Hereford,03AZ,03AZ
6700,03CA,heliport,Grossmont Hospital Heliport,US,US-CA,La Mesa,03CA,03CA
6701,03CO,small_airport,Kugel-Strong Airport,US,US-CO,Platteville,03CO,03CO
6702,03FA,small_airport,Lake Persimmon Airstrip,US,US-FL,Lake Placid,03FA,03FA
6703,03FD,small_airport,Tharpe Airport,US,US-FL,Bonifay,03FD,03FD
6704,03FL,heliport,Ranger Heliport,US,US-FL,West Palm Beach,03FL,03FL
6705,03I,small_airport,Clarks Dream Strip,US,US-OH,Circleville,03I,03I
6706,03IA,small_airport,East Field,US,US-IA,Montezuma,03IA,03IA
6707,03ID,small_airport,Flying Y Ranch Airport,US,US-ID,Council,03ID,03ID
6708,03II,small_airport,Davis Field Ultralightport,US,US-IN,Mount Vernon,03II,03II
6709,03IL,small_airport,Wix Airport,US,US-IL,Monee,03IL,03IL
6710,03IN,small_airport,Heinzman Airport,US,US-IN,Arcadia,03IN,03IN
6711,03IS,heliport,St Anthony's Hospital Heliport,US,US-IL,Alton,03IS,03IS
6712,03KS,heliport,Valley Grain Heliport,US,US-KS,Highland,03KS,03KS
6713,03KY,small_airport,Flying H Farms Airport,US,US-KY,Henderson,03KY,03KY
6714,03LA,heliport,Damien Heliport,US,US-LA,Carville,03LA,03LA
6715,03LS,heliport,Fmc Nr 1 Heliport,US,US-LA,Winnsboro,03LS,03LS
6716,03M,seaplane_base,Lakeside Marina Seaplane Base,US,US-ME,East Winthrop,03M,03M
6717,03MA,small_airport,Hadley Airport,US,US-MA,Hadley,03MA,03MA
6718,03MD,heliport,Upper Chesapeake Medical Center Heliport,US,US-MD,Bel Air,03MD,03MD
6719,03ME,small_airport,Maple Ridge Airport,US,US-ME,Harrison,03ME,03ME
6720,03MI,heliport,Harold Miller Heliport,US,US-MI,Bay City,03MI,03MI
6721,03MN,small_airport,Nauerth Land Ranch Airport,US,US-MN,Lakefield,03MN,03MN
6722,03MO,small_airport,Cahoochie Airport,US,US-MO,Urbana,03MO,03MO
6723,03MS,heliport,Vicksburg Medical Center Heliport,US,US-MS,Vicksburg,03MS,03MS
6724,03MT,small_airport,Cascade Airport,US,US-MT,Cascade,03MT,03MT
6725,03MU,small_airport,Mc Donnell Airport,US,US-MO,Archie,03MU,03MU
4650,03N,small_airport,Utirik Airport,MH,MH-UTI,Utirik Island,03N,03N
6726,03NC,small_airport,Pilots Ridge Airport,US,US-NC,Carolina Beach,03NC,03NC
6727,03ND,small_airport,Olafson Brothers Airport,US,US-ND,Edinburg,03ND,03ND
6728,03NE,small_airport,Hyde Ranch Airport,US,US-NE,Comstock,03NE,03NE
6729,03NH,heliport,Lorden Heliport,US,US-NH,Milford,03NH,03NH
6730,03NJ,heliport,At&T Heliport,US,US-NJ,Berkely Heights,03NJ,03NJ
6731,03NV,small_airport,Llama Ranch Airport,US,US-NV,Ruby Valley,03NV,03NV
6732,03NY,small_airport,Talmage Field,US,US-NY,Riverhead,03NY,03NY
6733,03OH,small_airport,Gibbs Field,US,US-OH,Fremont,03OH,03OH
6734,03OI,heliport,Marymount Hospital Heliport,US,US-OH,Garfield Heights,03OI,03OI
6735,03OK,small_airport,Sahoma Lake Airport,US,US-OK,Sapulpa,03OK,03OK
6736,03OR,small_airport,Powwatka Ridge Airport,US,US-OR,Troy,03OR,03OR
6737,03PA,heliport,Collegeville Heliport,US,US-PA,Collegeville,03PA,03PA
6738,03PN,heliport,M.P. Metals Heliport,US,US-PA,Berwick,03PN,03PN
6739,03PS,small_airport,Ziggy's Field,US,US-PA,Bellefonte,03PS,03PS
6740,03S,small_airport,Sandy River Airport,US,US-OR,Sandy,03S,03S
6741,03SC,heliport,Seacoast Medical Center Heliport,US,US-SC,Little River,03SC,03SC
6742,03TA,small_airport,Gay Hill Farm Airport,US,US-TX,Gay Hill,03TA,03TA
6743,03TE,small_airport,Barronena Ranch Airport,US,US-TX,Hebbronville,03TE,03TE
6744,03TN,heliport,Eagles Landing Heliport,US,US-TN,Sevierville,03TN,03TN
6745,03TS,heliport,Shannon Medical Center Heliport,US,US-TX,San Angelo,03TS,03TS
6746,03TX,heliport,M D K Field,US,US-TX,Pearland,03TX,03TX
6747,03UT,small_airport,A Z Minerals Corporation Airport,US,US-UT,Mexican Hat,03UT,03UT
6748,03VA,closed,Whipoorwill Springs Airport,US,US-VA,Nokesville,03VA,03VA
6749,03WA,small_airport,Spangle Field,US,US-WA,Spangle,03WA,03WA
6750,03WI,small_airport,Zink Airport,US,US-WI,Berlin,03WI,03WI
6751,03WN,small_airport,Aerostone Ranch Airport,US,US-WA,Goldendale,03WN,03WN
6752,03XS,small_airport,Creekside Airport,US,US-TX,Mertzon,03XS,03XS
6753,04AL,heliport,Anniston AHP (Anniston Army Depot),US,US-AL,Anniston,04AL,04AL
6754,04AR,heliport,Saline Memorial Hospital Heliport,US,US-AR,Benton,04AR,04AR
6755,04AZ,small_airport,Chinle Airport,US,US-AZ,Chinle,04AZ,04AZ
6756,04CA,small_airport,Gray Butte Field,US,US-CA,Palmdale,04CA,04CA
6757,04CL,small_airport,Hunt's Sky Ranch Airport,US,US-CA,Julian,04CL,04CL
6758,04CT,heliport,Shingle Mill Heliport,US,US-CT,Harwinton,04CT,04CT
6759,04F,small_airport,De Leon Municipal Airport,US,US-TX,De Leon,04F,04F
6760,04FA,small_airport,Richards Field,US,US-FL,Homestead,04FA,04FA
6761,04FL,small_airport,Cross Creek Farms Airport,US,US-FL,Ormond,04FL,04FL
6762,04I,small_airport,Columbus Southwest Airport,US,US-OH,Columbus,04I,04I
6763,04IA,small_airport,Middlekoop Airport,US,US-IA,Packwood,04IA,04IA
6764,04ID,small_airport,Lanham Field,US,US-ID,Emmett,04ID,04ID
6765,04II,small_airport,Turkey Run Airport,US,US-IN,New Haven,04II,04II
6766,04IL,small_airport,Schertz Aerial Service - Hudson Airport,US,US-IL,Hudson,04IL,04IL
45410,04IN,seaplane_base,Lake Gage Seaplane Base,US,US-IN,Angola,04IN,04IN
6767,04IS,small_airport,Van Gorder Airport,US,US-IL,Mansfield,04IS,04IS
6768,04KS,heliport,Robinson Industries Heliport,US,US-KS,Lawrence,04KS,04KS
6769,04KY,small_airport,Natchez Trace Farm Airport,US,US-KY,Hiseville,04KY,04KY
6770,04LA,heliport,St James Heliport,US,US-LA,Lutcher,04LA,04LA
6771,04LL,small_airport,Brunner Airport,US,US-IL,West Dundee,04LL,04LL
6772,04LS,heliport,La National Guard Heliport,US,US-LA,Baton Rouge,04LS,04LS
6773,04MA,closed,Goddard Field (Airport),US,US-MA,Haverhill,04MA,04MA
6774,04MD,heliport,Chesapeake City Heliport,US,US-MD,Chesapeake City,04MD,04MD
6775,04ME,small_airport,Beech Hill Airport,US,US-ME,Mercer,04ME,04ME
6776,04MI,small_airport,Rapids Airway Airport,US,US-MI,Eaton Rapids,04MI,04MI
6777,04MN,small_airport,Helblad Airport,US,US-MN,Kelliher,04MN,04MN
6778,04MO,small_airport,Airpark Private Airport,US,US-MO,Vandalia,04MO,04MO
6779,04MS,small_airport,Nick's Flying Service Inc Airport,US,US-MS,Rolling Fork,04MS,04MS
6780,04MT,small_airport,Pluhar Airport,US,US-MT,Cohagen,04MT,04MT
6781,04NC,heliport,Western Wake Medical Center Heliport,US,US-NC,Cary,04NC,04NC
6782,04NE,small_airport,Mc Connell Field Airport,US,US-NE,Sarben,04NE,04NE
6783,04NJ,small_airport,Emmanuel Airport,US,US-NJ,Elmer,04NJ,04NJ
6784,04NV,small_airport,Kingston Ranch Airport,US,US-NV,Sandy Valley,04NV,04NV
6785,04NY,small_airport,Klaverack Airport,US,US-NY,Hudson,04NY,04NY
